id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
pump-fun,0.00493784,1745077885,-14.64164,0.00681162,0.00484301,17-07-2025 20-16-35
convex-finance,4.5,365967718,-12.48486,60.09,1.44,17-07-2025 20-16-35
useless-3,0.320288,317684810,-12.12412,0.380484,0.00519952,17-07-2025 20-16-35
syrup,0.450641,479452136,-8.17113,0.653229,0.085229,17-07-2025 20-16-35
cat-in-a-dogs-world,0.00367092,326400980,-8.1586,0.01288153,0.00091206,17-07-2025 20-16-35
bonk,3.456e-05,2667758954,-7.92521,5.825e-05,8.6142e-08,17-07-2025 20-16-35
memecore,0.35928,577539397,-7.01422,0.897338,0.04746135,17-07-2025 20-16-35
pudgy-penguins,0.03009584,1873404001,-5.7565,0.068447,0.00371517,17-07-2025 20-16-35
grass,1.12,330728073,-5.60549,3.89,0.654959,17-07-2025 20-16-35
popcat,0.401413,390337962,-4.26368,2.05,0.00379728,17-07-2025 20-16-35
